"id";"firstName";"lastName";"room";"phone";"grade"
1;"Konstantine";"Wordsley";"21";"979-345-3823";"Freshman"
2;"Ted";"Llopis";"90";"192-464-6905";"Freshman"
3;"Connie";"Siddle";"61";"689-791-7072";"Freshman"
4;"Toma";"McGall";"13";"460-847-8087";"Freshman"
5;"Gracia";"Bernardt";"95";"854-411-3279";"Freshman"
6;"Claribel";"Roe";"66";"517-592-1314";"Freshman"
7;"Adolphe";"Bladge";"86";"577-312-7036";"Freshman"
8;"Pavla";"Riggs";"41";"862-317-3343";"Freshman"
9;"Philipa";"McIlherran";"36";"832-652-9301";"Freshman"
10;"Hamish";"Cannaway";"45";"436-278-1552";"Freshman"
11;"Ermentrude";"Benninger";"45";"941-970-8696";"Freshman"
12;"Roana";"Kleinhaut";"2";"419-357-5835";"Freshman"
13;"Katherine";"Boyat";"7";"252-495-4281";"Freshman"
14;"Inna";"Streak";"43";"186-441-6030";"Freshman"
15;"Ambrosi";"Wolverson";"21";"303-542-2182";"Freshman"
16;"Binky";"Abramson";"78";"998-713-3387";"Freshman"
17;"Rianon";"Coskerry";"89";"273-619-9774";"Freshman"
18;"Cori";"Pedri";"94";"352-886-2085";"Freshman"
19;"Domini";"Farncomb";"36";"449-401-9733";"Freshman"
20;"Doralin";"Fosse";"1";"458-184-5155";"Freshman"
21;"Kora";"Rudram";"71";"547-646-2294";"Sophomore"
22;"Clayborn";"Grewar";"93";"325-651-4958";"Sophomore"
23;"Kiah";"Sipson";"62";"693-644-7323";"Sophomore"
24;"Malina";"Boxall";"17";"801-374-6755";"Sophomore"
25;"Barb";"McAw";"63";"354-664-6311";"Sophomore"
26;"Carmelina";"Poppleton";"20";"470-891-8325";"Sophomore"
27;"Merlina";"Blanchet";"62";"450-523-4325";"Sophomore"
28;"Jami";"Sumsion";"1";"623-784-6605";"Sophomore"
29;"Ethel";"Feyer";"58";"864-950-0463";"Sophomore"
30;"Hillery";"Good";"27";"548-885-4506";"Sophomore"
31;"Gisele";"Jozwicki";"82";"562-694-3529";"Sophomore"
32;"Paddie";"Armiger";"97";"788-335-7773";"Sophomore"
33;"Wait";"Ricardin";"62";"909-877-9553";"Sophomore"
34;"Bartholomeo";"Gooms";"48";"241-824-2415";"Sophomore"
35;"Karlens";"Wallworke";"5";"689-162-0764";"Sophomore"
36;"Hayward";"Allington";"6";"126-509-7307";"Sophomore"
37;"Roselle";"Tillot";"45";"825-727-0511";"Sophomore"
38;"Jenelle";"Hoxey";"79";"237-325-2876";"Sophomore"
39;"Wynn";"McMurty";"35";"759-883-4055";"Sophomore"
40;"Boothe";"Springall";"49";"580-215-7652";"Sophomore"
41;"Theodosia";"Soltan";"7";"189-416-5614";"Junior"
42;"Woodie";"Pexton";"42";"233-590-2784";"Junior"
43;"Dolorita";"Mcmanaman";"3";"537-288-2324";"Junior"
44;"Dari";"Ogles";"21";"844-660-5200";"Junior"
45;"Sylvan";"Scraggs";"94";"880-507-4196";"Junior"
46;"Chadd";"Dipple";"10";"144-801-3981";"Junior"
47;"Claudius";"McNeil";"75";"409-389-0911";"Junior"
48;"Brittani";"Hadgraft";"14";"216-920-0473";"Junior"
49;"Roxy";"Lammas";"34";"297-721-9196";"Junior"
50;"Keven";"Mangeon";"23";"631-954-0409";"Junior"
51;"Meredeth";"Ruffli";"89";"402-801-9071";"Junior"
52;"Nicolis";"McWhinnie";"92";"212-313-4223";"Junior"
53;"Artemas";"Risson";"63";"122-416-9187";"Junior"
54;"Mathias";"Thomazet";"82";"266-209-6083";"Junior"
55;"Muffin";"Lovel";"74";"555-561-9025";"Junior"
56;"Cindelyn";"Celes";"70";"973-917-4273";"Junior"
57;"Vivienne";"Linstead";"45";"153-176-4188";"Junior"
58;"Kort";"Dugan";"56";"610-311-2110";"Junior"
59;"Ruthann";"Gillebride";"52";"888-503-7133";"Junior"
60;"Abbe";"Friberg";"90";"499-599-6313";"Junior"
61;"Basile";"Goldbourn";"47";"833-129-5151";"Senior"
62;"Cale";"Ludl";"59";"508-980-6541";"Senior"
63;"Duane";"Eliot";"13";"442-324-5655";"Senior"
64;"Aida";"Cull";"97";"449-556-6921";"Senior"
65;"Harry";"Have";"4";"340-785-0026";"Senior"
66;"Brianne";"Chaplin";"28";"159-923-5431";"Senior"
67;"Carin";"Penvarne";"78";"699-505-1366";"Senior"
68;"Cosmo";"Gerbi";"36";"658-505-4579";"Senior"
69;"Frances";"Whyteman";"64";"998-218-8573";"Senior"
70;"Lurlene";"Fison";"99";"314-699-8554";"Senior"
71;"Kassandra";"Bovis";"87";"173-129-5556";"Senior"
72;"Britta";"Lattey";"24";"782-753-1544";"Senior"
73;"Neal";"Weyland";"3";"654-644-5937";"Senior"
74;"Lynelle";"Wardingley";"97";"480-273-0649";"Senior"
75;"Dede";"Fisbey";"16";"906-127-8869";"Senior"
76;"Alameda";"Reedshaw";"57";"431-379-2950";"Senior"
77;"Pascale";"Trouncer";"2";"190-184-2245";"Senior"
78;"Rosanna";"Sotheby";"59";"964-322-5678";"Senior"
79;"Padraig";"Sibthorp";"53";"313-665-5314";"Senior"
80;"Kimmie";"Maudlen";"97";"561-885-6600";"Senior"
